cycle,dsg_start,dsg_end,chg_start,chg_end,dsg_duration,chg_duration,dsg_charge_Ah,chg_charge_Ah,dsg_energy_Wh,chg_energy_Wh,energy_loss_Wh
1,2024-10-22 18:44:00+02:00,2024-10-22 19:42:55+02:00,2024-10-22 20:02:55+02:00,2024-10-22 21:27:27+02:00,0 days 00:58:55,0 days 01:24:32,-47.13127653935185,47.81979649236112,-1002.5122137742774,1114.8252016089257,112.31298783464831
2,2024-10-22 21:37:27+02:00,2024-10-22 22:36:14+02:00,2024-10-22 22:56:14+02:00,2024-10-23 00:20:19+02:00,0 days 00:58:47,0 days 01:24:05,-47.02662087962964,47.680482295833336,-1004.5708886690611,1111.6850948241206,107.11420615505949
3,2024-10-23 00:30:19+02:00,2024-10-23 01:28:56+02:00,2024-10-23 01:48:56+02:00,2024-10-23 03:12:42+02:00,0 days 00:58:37,0 days 01:23:46,-46.889785366435184,47.54067453495371,-1002.5040688624267,1108.7066105688361,106.20254170640942
4,2024-10-23 03:22:42+02:00,2024-10-23 04:21:10+02:00,2024-10-23 04:41:10+02:00,2024-10-23 06:04:44+02:00,0 days 00:58:28,0 days 01:23:34,-46.76936476932871,47.416219903125004,-1000.508224021172,1106.0547148935743,105.54649087240227
5,2024-10-23 06:14:44+02:00,2024-10-23 07:13:04+02:00,2024-10-23 07:33:04+02:00,2024-10-23 08:56:34+02:00,0 days 00:58:20,0 days 01:23:30,-46.65631519236112,47.30655187037037,-998.5558261445332,1103.7229923391192,105.167166194586
6,2024-10-23 09:06:34+02:00,2024-10-23 10:04:46+02:00,2024-10-23 10:24:46+02:00,2024-10-23 11:47:55+02:00,0 days 00:58:12,0 days 01:23:09,-46.55011340879631,47.19835619907408,-996.6896627032129,1101.4893301103273,104.79966740711438
7,2024-10-23 11:57:55+02:00,2024-10-23 12:56:00+02:00,2024-10-23 13:16:00+02:00,2024-10-23 14:39:01+02:00,0 days 00:58:05,0 days 01:23:01,-46.4610628888889,47.102266489351855,-995.1457285927258,1099.3644616467695,104.2187330540437
8,2024-10-23 14:49:01+02:00,2024-10-23 15:46:59+02:00,2024-10-23 16:06:59+02:00,2024-10-23 17:30:04+02:00,0 days 00:57:58,0 days 01:23:05,-46.36934537314815,47.010908526620376,-993.5679326960593,1097.4222599706204,103.85432727456111
9,2024-10-23 17:40:04+02:00,2024-10-23 18:37:55+02:00,2024-10-23 18:57:55+02:00,2024-10-23 20:21:01+02:00,0 days 00:57:51,0 days 01:23:06,-46.27559651319445,46.92044261365741,-991.8636855515643,1095.5298567566217,103.66617120505737
10,2024-10-23 20:31:01+02:00,2024-10-23 21:28:45+02:00,2024-10-23 21:48:45+02:00,2024-10-23 23:11:35+02:00,0 days 00:57:44,0 days 01:22:50,-46.18289120069445,46.82588951215277,-990.1533231545811,1093.5235494837855,103.37022632920434
11,2024-10-23 23:21:35+02:00,2024-10-24 00:19:12+02:00,2024-10-24 00:39:12+02:00,2024-10-24 02:01:59+02:00,0 days 00:57:37,0 days 01:22:47,-46.093554376388894,46.738226651388885,-988.530216017283,1091.6687154618178,103.13849944453477
12,2024-10-24 02:11:59+02:00,2024-10-24 03:09:30+02:00,2024-10-24 03:29:30+02:00,2024-10-24 04:52:17+02:00,0 days 00:57:31,0 days 01:22:47,-46.00706706643519,46.652532784027784,-986.9457876920495,1089.8627145025978,102.91692681054826
13,2024-10-24 05:02:17+02:00,2024-10-24 05:59:41+02:00,2024-10-24 06:19:41+02:00,2024-10-24 07:42:14+02:00,0 days 00:57:24,0 days 01:22:33,-45.91915012037037,46.5640579800926,-985.3299683308829,1087.981986933429,102.65201860254604
14,2024-10-24 07:52:14+02:00,2024-10-24 08:49:32+02:00,2024-10-24 09:09:32+02:00,2024-10-24 10:31:59+02:00,0 days 00:57:18,0 days 01:22:27,-45.831539260416676,46.47836112337963,-983.7083549979618,1086.1549315591967,102.4465765612349
15,2024-10-24 10:41:59+02:00,2024-10-24 11:39:10+02:00,2024-10-24 11:59:10+02:00,2024-10-24 13:21:24+02:00,0 days 00:57:11,0 days 01:22:14,-45.74674821458334,46.38558890439815,-982.1339982592469,1084.1773939564782,102.04339569723129
16,2024-10-24 13:31:24+02:00,2024-10-24 14:28:29+02:00,2024-10-24 14:48:29+02:00,2024-10-24 16:10:36+02:00,0 days 00:57:05,0 days 01:22:07,-45.66249100902778,46.30084096458334,-980.5663545897409,1082.4207388086265,101.85438421888568
17,2024-10-24 16:20:36+02:00,2024-10-24 17:17:35+02:00,2024-10-24 17:37:35+02:00,2024-10-24 18:59:35+02:00,0 days 00:56:59,0 days 01:22:00,-45.58637508912038,46.22005430069445,-979.2069094161736,1080.6772351186107,101.4703257024371
18,2024-10-24 19:09:35+02:00,2024-10-24 20:06:28+02:00,2024-10-24 20:26:28+02:00,2024-10-24 21:48:19+02:00,0 days 00:56:53,0 days 01:21:51,-45.50780380486112,46.139265209490745,-977.6937666115426,1078.9678241803622,101.27405756881956
