cycle,dsg_start,dsg_end,chg_start,chg_end,dsg_duration,chg_duration,dsg_charge_Ah,chg_charge_Ah,dsg_energy_Wh,chg_energy_Wh,energy_loss_Wh
1,2024-10-25 17:30:21+00:00,2024-10-25 18:25:23+00:00,2024-10-25 18:45:22+00:00,2024-10-25 20:04:01+00:00,0 days 00:55:02,0 days 01:18:39,-66.00416647939814,66.99262248078703,-1421.3671933705673,1563.5833759775153,142.216182606948
2,2024-10-25 20:14:18+00:00,2024-10-25 21:09:30+00:00,2024-10-25 21:29:29+00:00,2024-10-25 22:48:01+00:00,0 days 00:55:12,0 days 01:18:32,-66.19828644050925,67.0909123789352,-1431.4327376222898,1565.3236050606774,133.89086743838766
3,2024-10-25 22:58:25+00:00,2024-10-25 23:53:37+00:00,2024-10-26 00:13:36+00:00,2024-10-26 01:32:21+00:00,0 days 00:55:12,0 days 01:18:45,-66.21323607361111,67.0967516738426,-1432.3439484914877,1565.4734041792908,133.1294556878031
4,2024-10-26 01:42:40+00:00,2024-10-26 02:37:51+00:00,2024-10-26 02:57:50+00:00,2024-10-26 04:16:41+00:00,0 days 00:55:11,0 days 01:18:51,-66.1872034875,67.07483007245371,-1432.0434957769648,1565.0391287075245,132.99563293055962
5,2024-10-26 04:26:58+00:00,2024-10-26 05:22:07+00:00,2024-10-26 05:42:12+00:00,2024-10-26 07:01:01+00:00,0 days 00:55:09,0 days 01:18:49,-66.15029720023148,67.0329850548611,-1431.433804315273,1564.169163349204,132.735359033931
6,2024-10-26 07:11:17+00:00,2024-10-26 08:04:21+00:00,2024-10-26 08:24:20+00:00,2024-10-26 09:41:21+00:00,0 days 00:53:04,0 days 01:17:01,-63.66425491782407,64.52839516620371,-1389.3357146725477,1514.070493030525,124.73477835797735
7,2024-10-26 09:51:39+00:00,2024-10-26 10:44:39+00:00,2024-10-26 11:04:38+00:00,2024-10-26 12:21:51+00:00,0 days 00:53:00,0 days 01:17:13,-63.57203364467592,64.43779242199075,-1387.2444584550797,1512.1336860135334,124.88922755845374
8,2024-10-26 12:32:06+00:00,2024-10-26 13:25:03+00:00,2024-10-26 13:45:02+00:00,2024-10-26 15:02:11+00:00,0 days 00:52:57,0 days 01:17:09,-63.51248650138889,64.37433654467594,-1385.9542542078204,1510.7362410670692,124.78198685924872
9,2024-10-26 15:12:32+00:00,2024-10-26 16:05:26+00:00,2024-10-26 16:25:25+00:00,2024-10-26 17:42:31+00:00,0 days 00:52:54,0 days 01:17:06,-63.4662701474537,64.32799127291666,-1384.991527676262,1509.7221800223454,124.73065234608339
10,2024-10-26 17:52:47+00:00,2024-10-26 18:45:40+00:00,2024-10-26 19:05:39+00:00,2024-10-26 20:22:31+00:00,0 days 00:52:53,0 days 01:16:52,-63.42322467685186,64.28118374861111,-1384.1139688850906,1508.6728575548234,124.55888866973282
11,2024-10-26 20:32:52+00:00,2024-10-26 21:25:43+00:00,2024-10-26 21:45:42+00:00,2024-10-26 23:03:01+00:00,0 days 00:52:51,0 days 01:17:19,-63.38556477777777,64.25165245486112,-1383.3384605662832,1508.0451729398387,124.70671237355555
12,2024-10-26 23:13:17+00:00,2024-10-27 00:06:06+00:00,2024-10-27 00:26:05+00:00,2024-10-27 01:43:01+00:00,0 days 00:52:49,0 days 01:16:56,-63.355385426851846,64.2100478388889,-1382.6966338821553,1507.1032416070298,124.40660772487445
13,2024-10-27 01:53:17+00:00,2024-10-27 02:46:04+00:00,2024-10-27 03:06:03+00:00,2024-10-27 04:23:01+00:00,0 days 00:52:47,0 days 01:16:58,-63.31914493657408,64.18161447083334,-1381.9568415931517,1506.4882618079835,124.53142021483177
