cycle,dsg_start,dsg_end,chg_start,chg_end,dsg_duration,chg_duration,dsg_charge_Ah,chg_charge_Ah,dsg_energy_Wh,chg_energy_Wh,energy_loss_Wh
1,2024-10-25 17:30:21.700000+00:00,2024-10-25 18:25:22.200000+00:00,2024-10-25 18:45:22.200000+00:00,2024-10-25 20:04:18.800000+00:00,0 days 00:55:00.500000,0 days 01:18:56.600000,-66.00416443356481,66.99765851134259,-1421.3671614062123,1563.710279420717,142.34311801450463
2,2024-10-25 20:14:18.800000+00:00,2024-10-25 21:09:29+00:00,2024-10-25 21:29:29+00:00,2024-10-25 22:48:25.200000+00:00,0 days 00:55:10.200000,0 days 01:18:56.200000,-66.19828280439815,67.09767450115741,-1431.4326809414988,1565.4940048319818,134.06132389048298
3,2024-10-25 22:58:25.100000+00:00,2024-10-25 23:53:36.100000+00:00,2024-10-26 00:13:36.100000+00:00,2024-10-26 01:32:40.400000+00:00,0 days 00:55:11,0 days 01:19:04.300000,-66.21323584722222,67.10219966689814,-1432.3439449328434,1565.6106884268656,133.2667434940222
4,2024-10-26 01:42:40.400000+00:00,2024-10-26 02:37:50.100000+00:00,2024-10-26 02:57:50.100000+00:00,2024-10-26 04:16:58.500000+00:00,0 days 00:55:09.700000,0 days 01:19:08.400000,-66.18720303333332,67.0797376738426,-1432.0434886569938,1565.1627965158395,133.1193078588458
5,2024-10-26 04:26:58.500000+00:00,2024-10-26 05:22:06.300000+00:00,2024-10-26 05:42:12.900000+00:00,2024-10-26 07:01:17.100000+00:00,0 days 00:55:07.800000,0 days 01:19:04.200000,-66.1502956099537,67.03756094375,-1431.4337794480552,1564.2844716179404,132.85069216988518
6,2024-10-26 07:11:17.100000+00:00,2024-10-26 08:04:20.600000+00:00,2024-10-26 08:24:20.600000+00:00,2024-10-26 09:41:39.700000+00:00,0 days 00:53:03.500000,0 days 01:17:19.100000,-63.66425128310185,64.53364841203704,-1389.3356472169996,1514.202870138773,124.86722292177342
7,2024-10-26 09:51:39.700000+00:00,2024-10-26 10:44:38.600000+00:00,2024-10-26 11:04:38.600000+00:00,2024-10-26 12:22:06.600000+00:00,0 days 00:52:58.900000,0 days 01:17:28,-63.57202978217592,64.44215829421296,-1387.244386767466,1512.243702215325,124.99931544785886
8,2024-10-26 12:32:06.600000+00:00,2024-10-26 13:25:02.600000+00:00,2024-10-26 13:45:02.600000+00:00,2024-10-26 15:02:32+00:00,0 days 00:52:56,0 days 01:17:29.400000,-63.5124876375,64.3801746877315,-1385.9542753076933,1510.8833569127057,124.92908160501247
9,2024-10-26 15:12:32+00:00,2024-10-26 16:05:25.700000+00:00,2024-10-26 16:25:25.700000+00:00,2024-10-26 17:42:47.800000+00:00,0 days 00:52:53.700000,0 days 01:17:22.100000,-63.46626969328703,64.33270571736111,-1384.9915192395258,1509.8409799273759,124.84946068785007
10,2024-10-26 17:52:47.800000+00:00,2024-10-26 18:45:39.300000+00:00,2024-10-26 19:05:39.300000+00:00,2024-10-26 20:22:52.700000+00:00,0 days 00:52:51.500000,0 days 01:17:13.400000,-63.42322444907408,64.2873112125,-1384.1139646525012,1508.8272642294016,124.71329957690045
11,2024-10-26 20:32:52.700000+00:00,2024-10-26 21:25:42.300000+00:00,2024-10-26 21:45:42.300000+00:00,2024-10-26 23:03:17.200000+00:00,0 days 00:52:49.600000,0 days 01:17:34.900000,-63.38556523194445,64.2561971951389,-1383.3384690019298,1508.1596962189806,124.82122721705082
12,2024-10-26 23:13:17.200000+00:00,2024-10-27 00:06:05.300000+00:00,2024-10-27 00:26:05.300000+00:00,2024-10-27 01:43:17.100000+00:00,0 days 00:52:48.100000,0 days 01:17:11.800000,-63.35538588101852,64.21462304305555,-1382.6966423135323,1507.218532559124,124.52189024559175
13,2024-10-27 01:53:17+00:00,2024-10-27 02:46:03.300000+00:00,2024-10-27 03:06:03.300000+00:00,2024-10-27 04:23:20.800000+00:00,0 days 00:52:46.300000,0 days 01:17:17.500000,-63.31914289212963,64.18717085416667,-1381.9568034484537,1506.628277637653,124.67147418919922
14,2024-10-27 04:33:20.800000+00:00,2024-10-27 05:26:05.600000+00:00,2024-10-27 05:46:05.600000+00:00,2024-10-27 07:03:42.600000+00:00,0 days 00:52:44.800000,0 days 01:17:37,-63.28859845694444,64.16184354953705,-1381.2985334686748,1506.0853741367496,124.78684066807477
15,2024-10-27 07:13:42.600000+00:00,2024-10-27 08:06:26.100000+00:00,2024-10-27 08:26:26.100000+00:00,2024-10-27 09:43:59.600000+00:00,0 days 00:52:43.500000,0 days 01:17:33.500000,-63.26273367592592,64.13446363680556,-1380.7409413522903,1505.483334655226,124.74239330293562
16,2024-10-27 09:53:59.600000+00:00,2024-10-27 10:46:41.800000+00:00,2024-10-27 11:06:41.800000+00:00,2024-10-27 12:24:13.600000+00:00,0 days 00:52:42.200000,0 days 01:17:31.800000,-63.23841107384258,64.10368735532407,-1380.2440803412646,1504.8003815700874,124.5563012288228
17,2024-10-27 12:34:13.600000+00:00,2024-10-27 13:26:54.600000+00:00,2024-10-27 13:46:54.600000+00:00,2024-10-27 15:04:16.500000+00:00,0 days 00:52:41,0 days 01:17:21.900000,-63.21319084375,64.07664348240742,-1379.711958331543,1504.1953209443993,124.48336261285635
18,2024-10-27 15:14:16.500000+00:00,2024-10-27 16:06:56.200000+00:00,2024-10-27 16:26:56.200000+00:00,2024-10-27 17:44:26+00:00,0 days 00:52:39.700000,0 days 01:17:29.800000,-63.18676003171296,64.05615456226852,-1379.1714286880012,1503.7442638761688,124.57283518816757
19,2024-10-27 17:54:26+00:00,2024-10-27 18:47:04.500000+00:00,2024-10-27 19:07:04.500000+00:00,2024-10-27 20:24:53.200000+00:00,0 days 00:52:38.500000,0 days 01:17:48.700000,-63.164229678935186,64.0378444252315,-1378.6784148379575,1503.3589345319372,124.6805196939797
20,2024-10-27 20:34:53.100000+00:00,2024-10-27 21:27:30.700000+00:00,2024-10-27 21:47:30.700000+00:00,2024-10-27 23:05:15.700000+00:00,0 days 00:52:37.600000,0 days 01:17:45,-63.144134175,64.01473744143519,-1378.2334178884535,1502.8529462835486,124.61952839509513
21,2024-10-27 23:15:15.700000+00:00,2024-10-28 00:07:52.100000+00:00,2024-10-28 00:27:52.100000+00:00,2024-10-28 01:45:34.900000+00:00,0 days 00:52:36.400000,0 days 01:17:42.800000,-63.121900436342585,63.99006965902779,-1377.7580258101004,1502.3091073661583,124.55108155605785
22,2024-10-28 01:55:34.900000+00:00,2024-10-28 02:48:10.300000+00:00,2024-10-28 03:08:10.300000+00:00,2024-10-28 04:25:53.800000+00:00,0 days 00:52:35.400000,0 days 01:17:43.500000,-63.10177001458333,63.96888658750001,-1377.3263388356181,1501.8489504717616,124.52261163614344
23,2024-10-28 04:35:53.800000+00:00,2024-10-28 05:28:28.100000+00:00,2024-10-28 05:48:28.100000+00:00,2024-10-28 07:06:08.400000+00:00,0 days 00:52:34.300000,0 days 01:17:40.300000,-63.079877026157405,63.946413612268515,-1376.8503272856456,1501.342427310411,124.49210002476548
24,2024-10-28 07:16:08.400000+00:00,2024-10-28 08:08:41.700000+00:00,2024-10-28 08:28:41.700000+00:00,2024-10-28 09:46:25.600000+00:00,0 days 00:52:33.300000,0 days 01:17:43.900000,-63.0610284136574,63.92793591574074,-1376.4626415857067,1500.9311065446655,124.46846495895875
25,2024-10-28 09:56:25.700000+00:00,2024-10-28 10:48:58.300000+00:00,2024-10-28 11:08:58.200000+00:00,2024-10-28 12:26:39+00:00,0 days 00:52:32.600000,0 days 01:17:40.800000,-63.045850530555555,63.91167606805556,-1376.1855249435264,1500.5275211943324,124.341996250806
26,2024-10-28 12:36:39+00:00,2024-10-28 13:29:10.900000+00:00,2024-10-28 13:49:10.900000+00:00,2024-10-28 15:06:43.300000+00:00,0 days 00:52:31.900000,0 days 01:17:32.400000,-63.03185386643517,63.892066256712965,-1375.9678209257313,1500.0617519070165,124.09393098128521
27,2024-10-28 15:16:43.300000+00:00,2024-10-28 16:09:14.500000+00:00,2024-10-28 16:29:14.500000+00:00,2024-10-28 17:46:50.700000+00:00,0 days 00:52:31.200000,0 days 01:17:36.200000,-63.01679060231481,63.87877761828703,-1375.738287618924,1499.7377842426324,123.99949662370841
28,2024-10-28 17:56:50.700000+00:00,2024-10-28 18:49:20.900000+00:00,2024-10-28 19:09:20.900000+00:00,2024-10-28 20:26:52.500000+00:00,0 days 00:52:30.200000,0 days 01:17:31.600000,-62.99609625162037,63.85624003310187,-1375.2610254472709,1499.278989788781,124.01796434151015
29,2024-10-28 20:36:52.500000+00:00,2024-10-28 21:29:21.500000+00:00,2024-10-28 21:49:21.500000+00:00,2024-10-28 23:07:14.200000+00:00,0 days 00:52:29,0 days 01:17:52.700000,-62.97363746273149,63.84187157939815,-1374.7289356649342,1498.9884734907723,124.25953782583815
30,2024-10-28 23:17:14.200000+00:00,2024-10-29 00:09:42.400000+00:00,2024-10-29 00:29:42.400000+00:00,2024-10-29 01:47:35.400000+00:00,0 days 00:52:28.200000,0 days 01:17:53,-62.958726129629625,63.82449358958333,-1374.3721557694291,1498.623135351727,124.25097958229776
31,2024-10-29 01:57:35.400000+00:00,2024-10-29 02:50:02.700000+00:00,2024-10-29 03:10:02.700000+00:00,2024-10-29 04:27:44+00:00,0 days 00:52:27.300000,0 days 01:17:41.300000,-62.940049934259264,63.80521566319445,-1373.9567808377583,1498.1857836721133,124.22900283435501
32,2024-10-29 04:37:44+00:00,2024-10-29 05:30:10.400000+00:00,2024-10-29 05:50:10.400000+00:00,2024-10-29 07:08:14.300000+00:00,0 days 00:52:26.400000,0 days 01:18:03.900000,-62.923377983333324,63.79405237476851,-1373.609481397826,1497.9570467225308,124.34756532470487
33,2024-10-29 07:18:14.300000+00:00,2024-10-29 08:10:40.100000+00:00,2024-10-29 08:30:40.100000+00:00,2024-10-29 09:48:39+00:00,0 days 00:52:25.800000,0 days 01:17:58.900000,-62.91008763958333,63.772912950000006,-1373.3082584962979,1497.4860040576746,124.1777455613767
34,2024-10-29 09:58:39+00:00,2024-10-29 10:51:04+00:00,2024-10-29 11:11:04+00:00,2024-10-29 12:28:57.700000+00:00,0 days 00:52:25,0 days 01:17:53.700000,-62.89215644768518,63.759482984490745,-1372.941348727668,1497.1499209895926,124.2085722619247
35,2024-10-29 12:38:57.700000+00:00,2024-10-29 13:31:22.200000+00:00,2024-10-29 13:51:22.200000+00:00,2024-10-29 15:08:56.600000+00:00,0 days 00:52:24.500000,0 days 01:17:34.400000,-62.88389652291666,63.74088275300926,-1372.8638596400351,1496.68941760148,123.82555796144493
36,2024-10-29 15:18:56.600000+00:00,2024-10-29 16:11:20.200000+00:00,2024-10-29 16:31:20.200000+00:00,2024-10-29 17:49:21.400000+00:00,0 days 00:52:23.600000,0 days 01:18:01.200000,-62.86615760625,63.73201653541668,-1372.5267059637808,1496.5429281374636,124.01622217368276
37,2024-10-29 17:59:21.400000+00:00,2024-10-29 18:51:44.300000+00:00,2024-10-29 19:11:44.300000+00:00,2024-10-29 20:29:40.900000+00:00,0 days 00:52:22.900000,0 days 01:17:56.600000,-62.85277590277778,63.711717456481495,-1372.1535347933363,1496.108633211658,123.95509841832154
38,2024-10-29 20:39:40.900000+00:00,2024-10-29 21:32:02.900000+00:00,2024-10-29 21:52:02.900000+00:00,2024-10-29 23:10:07.200000+00:00,0 days 00:52:22,0 days 01:18:04.300000,-62.833066009027775,63.6988943712963,-1371.7080452131804,1495.8443406333618,124.13629542018134
39,2024-10-29 23:20:07.200000+00:00,2024-10-30 00:12:28.500000+00:00,2024-10-30 00:32:28.500000+00:00,2024-10-30 01:50:19.600000+00:00,0 days 00:52:21.300000,0 days 01:17:51.100000,-62.81877154351851,63.680455382870356,-1371.3825212318334,1495.4219516732765,124.03943044144307
40,2024-10-30 02:00:19.600000+00:00,2024-10-30 02:52:40+00:00,2024-10-30 03:12:40+00:00,2024-10-30 04:30:42.500000+00:00,0 days 00:52:20.400000,0 days 01:18:02.500000,-62.80220561805555,63.66903547337963,-1371.0272398184861,1495.1834465913814,124.1562067728953
41,2024-10-30 04:40:42.600000+00:00,2024-10-30 05:33:02.400000+00:00,2024-10-30 05:53:02.400000+00:00,2024-10-30 07:11:07.800000+00:00,0 days 00:52:19.800000,0 days 01:18:05.400000,-62.78855339189814,63.65345625370371,-1370.7109011175964,1494.8469929051696,124.13609178757315
42,2024-10-30 07:21:08+00:00,2024-10-30 08:13:27+00:00,2024-10-30 08:33:27+00:00,2024-10-30 09:51:33.100000+00:00,0 days 00:52:19,0 days 01:18:06.100000,-62.77605833356481,63.64010040462962,-1370.4472888454407,1494.5497958093933,124.10250696395269
43,2024-10-30 10:01:33.100000+00:00,2024-10-30 10:53:51.400000+00:00,2024-10-30 11:13:51.400000+00:00,2024-10-30 12:31:35.900000+00:00,0 days 00:52:18.300000,0 days 01:17:44.500000,-62.759333738888884,63.61782638032408,-1370.0753569105182,1494.0337858342023,123.9584289236841
44,2024-10-30 12:41:35.900000+00:00,2024-10-30 13:33:53.400000+00:00,2024-10-30 13:53:53.400000+00:00,2024-10-30 15:12:07+00:00,0 days 00:52:17.500000,0 days 01:18:13.600000,-62.74420497962962,63.61169665277777,-1369.763714611078,1493.9200534349616,124.15633882388352
45,2024-10-30 15:22:07+00:00,2024-10-30 16:14:24.100000+00:00,2024-10-30 16:34:24.100000+00:00,2024-10-30 17:52:32.200000+00:00,0 days 00:52:17.100000,0 days 01:18:08.100000,-62.735200466435174,63.599148238194445,-1369.5731842042765,1493.6329963899086,124.05981218563215
46,2024-10-30 18:02:32.200000+00:00,2024-10-30 18:54:48.400000+00:00,2024-10-30 19:14:48.400000+00:00,2024-10-30 20:33:02.100000+00:00,0 days 00:52:16.200000,0 days 01:18:13.700000,-62.718078409259256,63.58621034884259,-1369.2261630454261,1493.3502696802746,124.12410663484843
